title,subtitle,link,timestamp,text,keywords,address,location
Arrivano gli alberi di Natale: chiusa la strada del Monte Bondone,La strada sarà chiusa durante le operazioni di taglio e trasporto dei due abeti che abbelliranno piazza Duomo e piazza Dante,https://www.trentotoday.it/attualita/strada-bondone-chiusa-albero_natale.html,08 novembre 2020 10:15,"Strada chiusa per trasporto alberi di Natale. Il Comune informa i cittadini che nelle mattinate di lunedì 9 e mercoledì 11 novembre la strada che porta al Monte Bondone sarà chiusa in due tratti per le operazioni di taglio e trasporto degli alberi che abbelliranno piazza Duomo e piazza Dante durante il periodo natalizio.
La strada sarà chiusa in due tratti: da Sardagna a Candriai e da Candriai a Vanezze dalle ore 8.30 alle ore 12. Le operaizoni sono curate dall'Azienda forestale di Trento - Sopramonte. Dopo l'annuncio dell'annullamento dei mercatini il Comune punta tutto sugli allestimenti, le luci e gli addobbi per dare comunque a Trento l'atmosfera natalizia la contraddistingue: non poteva mancare l'albero di Natale.
Per muoverti con i mezzi pubblici nella città di Trento usa la nostra Partner App gratuita
    



!
","['strade', 'trasporti', 'viabilità']","Trento,Piazza del Duomo","{'label': '""Piazza del Duomo, Centro storico Trento, Trento, Territorio Val d\'Adige, Provincia di Trento, Trentino-Alto Adige/S\\u00fcdtirol, 38122, Italia""', 'coordinates': ['11.1210924', '  46.0676474']}"
Tamponi: anche a Trento arriva l'esercito,"Operazione del Ministero della Difesa in supporto delle aziende sanitarie italiane, ecco dove sarà il punto drive through degli alpini",https://www.trentotoday.it/attualita/esercito-tamponi-coronavirus.html,08 novembre 2020 09:56,"Arriva anche a Trento il punto tamponi gestito dall'Esercito. Il ministro della Difesa Lorenzo Guerini ha lanciato l'iniziativa che porterà i militari in tutta Italia con 200 postazioni per alleggerire il carico di lavoro delle aziende sanitarie regionali nella raccolta dei tamponi molecolari. Nell'operazione sono impegnati 1.400 militari e l'obiettivo è raccogliere 30mila tamponi al giorno.
In Trentino Alto Adige sono coinvolte nell'operazione le Truppe Alpine. A Trento il punto Drive Tghrough Difesa sarà al palaasport di Trento Sud, a fianco a quello già presente gestito dall'Azienda sanitaria provinciale. In questo modo i militari alleggeriranno il lavoro del personale sanitario provinciale nella raccolta dei tamponi. La parte più lunga e complessa, però, è quella dell'analisi, ad oggi effettuata da Apss e da due enti provinciali di ricerca scientifica: CiBio e Fondazione Mach. Il numero quotidiano di tamponi in Trentino è di 2-3.000.
","['alpini', 'esercito', 'tamponi']","Oltrefersina,Via Fersina",
"Bollettino coronavirus: 251 nuovi casi in Trentino, altre 5 vittime",Non accenna a diminuire il contagio: ecco i dati di sabato 7 novembre. Aumentano anche i ricoveri ma la situazione nelle terapie intensive è ancora ritenuta sotto controllo,https://www.trentotoday.it/cronaca/bollettino-coronavirus-7-novembre.html,07 novembre 2020 16:43,"Non accenna ad ""appiattirsi"" la linea dei contagi in Trentino: sono 251 i nuovi casi di coronavirus secondo il bollettino quotidianamente diffuso dalla Provincia ed aggiornato a sabato 7 novembre. Si registrano anche oggi, come ieri, 5 persone decedute con il virus. Cresce anche il numero di ricoverati, che in totale sono 261, ovvero 18 più di ieri, anche se rimane per ora sotto controllo quello dei pazienti in rianimazione, attualmente 18.
Il numero totale delle vittime da inizio pandemia è di 529, di cui circa 60 nella cosiddetta seconda ondata. Da sottolineare anche come ogni giorno si registrino, chiaramente, dei guariti: sono 55 nelle ultime 24 ore. Le persone attualmente positive sono 2.711. Da venerdì 6 novembre sono scattate anche in Trentino le misure previste dal Dpcm e dalla conseguente ordinanza del Ministero della Salute che ha identificato la provincia di Trento come ""zona gialla"", nella fascia con minor restrizioni.
Si ricorda che è in vigore il ""coprifuoco"", ovvero il divieto di spostamenti non giustificati con apposita autocertificazione dalle 22 alle 5 del mattino. Nella giornata di domenica 8 novembre saranno chiuse solamente le attività commerciali non essenziali che si trovano all'interno dei centri commerciali, tutte le altre resteranno aperte. L'autocertificazione serve anche per spostarsi dal Trentino alla Lombardia, che è stata dichiarata ""zona rossa"".
Il presidente della Provincia autonoma di Trento Maurizio Fugatti, tra l'altro positivo al virus, ha firmato una nuova ordinanza nella quale ha inserito anche dei comportamenti raccomandati, ma non obbligatori, per persone con più di sett'antanni di età, ma anche per studenti e lavoratori pendolari. Lunedì 9, infine, partirà la didattica a distanza per le scuole superiori anche se è ancora in corso la contrattazione con lo Stato, che la imporrebbe al 100%, mentre la Giunta chiede che le ore di lezione online siano solamente il 50% del totale, ovvero tre giorni su sei.
","['bollettino', 'contagi', 'coronavirus']","Oltrefersina,Largo Medaglie d'oro",
"Precipita in ferrata: morta Federica Marcolla, mamma e medico","Tragico incidente sulla ""Che Guevara"", probabilmente a causa di un moschettone agganciato male. A dare l'allarme il compagno della ragazza",https://www.trentotoday.it/cronaca/federica-marcolla_morta-ferrata.html,07 novembre 2020 15:50,"E' Federica Marcolla, medico e mamma di due bambini, la vittima del terribile incidente in montagna avvenuto sulla ferrata Che Guevara, nel Basso Sarca, nella mattinata di sabato 7 novembre. Secondo gli accertamenti svolti dai carabinieri della Compagnia di Riva del Garda, sulla base delle testimonianze dei soccorritori e del compagno che era con lei, sembra che sia stato fatale il mancato aggancio di un moschettone durante un passaggio lungo la via attrezzata.
L'alpinista stava staccando e riagganciando uno dei due moschettoni, convinta di poter fare affidamento sull'altro. Quest'ultimo, però, era probabilmente agganciato male ed all'improvviso la ragazza è caduta di spalle nel vuoto. Un volo di 200 metri che purtrppo non le ha lasciato scampo. A dare l'allarme è stato il compagn, che l'ha vista previpitare senza poter fare nulla. Il Soccorso Alpino è intervenuto in elicottero ed ha verricellato sul posto l'equipe medica. Purtroppo non c'è stato nulla da fare.
Residente a Trento, originaria di Zambana, laureatasi in Medicina a Parma, appassionata di montagna, Federica Marcolla era molto conosciuta per la sua professione, medico di famiglia, in tutta la comunità. Pochi giorni fa aveva rilasciato un'intervista al Tgr regionale per informare la popolazione sulla situazione dei medici di base nell'emergenza covid.
","['incidenti montagna', 'morti', 'morti in montagna']","Dro,Via Monte Casale","{'label': '""Monte Casale, Via Ferrata Ernesto Che Guevara, Maso del Gobbo, Dro, Comunit\\u00e0 Alto Garda e Ledro, Provincia di Trento, Trentino-Alto Adige/S\\u00fcdtirol, 38072, Italia""', 'coordinates': ['10.9276592', '  46.031499']}"
"Dro, precipita dalla ferrata per 200 metri e muore sotto gli occhi del compagno","Drammatico incidente alla ferrata Che Guevara, una delle più conosciute e frequentate del Basso Sarca",https://www.trentotoday.it/cronaca/ragazza-morta-ferrata-che-guevara.html,07 novembre 2020 14:39,"Mattinata drammatica sul Monte Casale: una ragazza di 32 anni, residente a Trento, è deceduta dopo essere precipitata alla ferrata Che Guevara, che stava percorrendo insieme al compagno. Il percorso, uno dei più famosi e frequentati del Trentino, è particolarmente lungo, anche se non eccessivamente impegnativo dal punto di vista tecnico. Chi percorre una via attrezzata è sempre agganciato al cordino metallico tramite un doppio moschettone di sicurezza. Sembra che la ragazza sia precipitata nel vuoto tra un passaggio e l'altro.
La giovane alpinista ha perso l'equilibrio cadendo di schiena dalle rocce. Un volo di oltre 200 metri, che non le ha lasciato scampo. Il compagno ha dato immediatamente l'allarme, erano le circa le 11.30. In pochi minuti l'elicottero ha portato sul posto l'equipe medica del Soccorso Alpino. Purtroppo i soccorritori non hanno potuto fare altro che constatare il decesso. Dopo il nullaosta delle autorità, la salma è stata ricomposta e verricellata a bordo dell'elicottero, con il supporto di due operatori della Stazione Riva del Garda del Soccorso Alpino.
","['ferrate', 'incidenti montagna', 'morti']","Dro,Via Monte Casale","{'label': '""Monte Casale, Via Ferrata Ernesto Che Guevara, Maso del Gobbo, Dro, Comunit\\u00e0 Alto Garda e Ledro, Provincia di Trento, Trentino-Alto Adige/S\\u00fcdtirol, 38072, Italia""', 'coordinates': ['10.9276592', '  46.031499']}"
"Supermercati di nuovo aperti nel weekend, chiusi alla domenica i negozi dei centri commerciali","L'ordinanza di Fugatti si adegua al Dpcm, sul piede di guerra  sindacati: ""Bastava mantenere l'ordinanza, siamo preoccupati""",https://www.trentotoday.it/cronaca/supermercati-negozi-aperti-domenica.html,07 novembre 2020 12:36,"Negozi e supermercati aperti sabato 7 e domenica 8 novembre, a meno che non si trovino nei centri commerciali. Paradossalmente in Trentino il nuovo Dpcm, almeno su questo frote, anziché chiudere ha aperto: sì, perchè fino allo scorso weekend valeva l'ordinanza del presidente Maurizio Fugatti che, come già sperimentato nel primo lockdown e po per tutta l'estate, teneva chiusi supermercati e negozi alla domenica.
Anche su questo punto la Giunta leghista ha fatto un passo indietro: l'ultima ordinanza di Fugatti recepisce la norma nazionale. ""Attività di commercio al dettaglio: è disposta la cessazione dell’efficacia di quanto previsto al punto 17) dell'ordinanza del Presidente della Provincia di data 26 ottobre prot. 659641/1; resta inteso che in materia si applica quanto previsto dall’art. 1, comma 9, lett. ff) del Dpcm del 03 novembre 2020"", così recita il testo dell'ordinanza.
Tradotto significa che il sabato e la domenica in Trentino i negozi restano aperti a meno che non si trovino nei centri commerciali. All'interno dei centri commerciali potranno rimarere aperti supermercati, edicole, tabaccherie, farmacie e parafarmacie. Questo fino al 3 dicembre oppure in caso di riclassificazione della provincia di Trento da ""gialla"" a livelli di restrizioni maggiori.
Sul piede di guerra i sndacati, che sulla chiusura festiva e domenicale hanno sempre appoggiato la Giunta leghista, pur se politicamente distante su altre questioni. ""Avremmo voluto dal presidente Fugatti un po’ di coerenza per andare incontro alle esigenze dei lavoratori e delle lavoratrici che già dal lunedì al sabato, soprattutto nei supermercati, devono fronteggiare situazioni anche al limite delle norme"" si legge in una nota.
""Bastava mantenere quanto previsto dall’ultima ordinanza con la chiusura di tutti i punti vendita la domenica"" spiegano i sindacati. Effettivamente una misura più restrittiva, come in questo caso, è sempre permessa dal Dpcm. Allo stesso modo è fondamentale che si facciano rispettare le regole. Riceviamo sempre più frequentemente segnalazioni di scarsa attenzione e leggerezza. Così non va bene anche perché lavoratori e lavoratrici sono stanchi e molto preoccupati” conclude la nota.
","['coronavirus', 'negozi chiusi', 'supermercati aperti']","Trento,Via Giannantonio Manci","{'label': '""Via Giannantonio Manci, Centro storico Trento, Trento, Territorio Val d\'Adige, Provincia di Trento, Trentino-Alto Adige/S\\u00fcdtirol, 38122, Italia""', 'coordinates': ['11.1244551', '  46.0700837']}"
"Trento, chiusa via Verdi: si sospetta una manifestazione di protesta non autorizzata","La zona è presidiata da polizia, carabinieri, guardia di finanza e agenti della locale",https://www.trentotoday.it/cronaca/trento-sospetta-manifestazione-non-autorizzata.html,06 novembre 2020 16:32,"Una sospetta protesta non autorizzata ha portato alla chiusura di un'intera via a Trento, nel pomeriggio di venerdì 6 novembre.
{""type"":""gallery"",""object"":{""title"":""Trento, chiusa via Verdi: si sospetta una manifestazione di protesta non autorizzata"",""description"":"""",""uri"":""https:\/\/www.trentotoday.it\/foto\/cronaca\/trento-chiusa-via-verdi-si-sospetta-una-manifestazione-di-protesta-non-autorizzata\/"",""medias"":[{""title"":""Trento, via Verdi 6 novembre 3"",""description"":"""",""image"":""https:\/\/citynews-trentotoday.stgy.ovh\/~media\/horizontal-hi\/68121217525387\/trento-via-verdi-6-novembre-3.jpg"",""uri"":""https:\/\/www.trentotoday.it\/foto\/cronaca\/trento-chiusa-via-verdi-si-sospetta-una-manifestazione-di-protesta-non-autorizzata\/trento-via-verdi-6-novembre-3.html""},{""title"":""Trento, via Verdi 6 novembre 5-2"",""description"":"""",""image"":""https:\/\/citynews-trentotoday.stgy.ovh\/~media\/horizontal-hi\/40296520056456\/trento-via-verdi-6-novembre-5-2.jpg"",""uri"":""https:\/\/www.trentotoday.it\/foto\/cronaca\/trento-chiusa-via-verdi-si-sospetta-una-manifestazione-di-protesta-non-autorizzata\/trento-via-verdi-6-novembre-5-2.html""},{""title"":""Trento, via Verdi 6 novembre 4-2"",""description"":"""",""image"":""https:\/\/citynews-trentotoday.stgy.ovh\/~media\/horizontal-hi\/50638161993640\/trento-via-verdi-6-novembre-4-2.jpg"",""uri"":""https:\/\/www.trentotoday.it\/foto\/cronaca\/trento-chiusa-via-verdi-si-sospetta-una-manifestazione-di-protesta-non-autorizzata\/trento-via-verdi-6-novembre-4-2.html""},{""title"":""Trento, via Verdi 6 novembre 2-2"",""description"":"""",""image"":""https:\/\/citynews-trentotoday.stgy.ovh\/~media\/horizontal-hi\/42973212968536\/trento-via-verdi-6-novembre-2-2.jpg"",""uri"":""https:\/\/www.trentotoday.it\/foto\/cronaca\/trento-chiusa-via-verdi-si-sospetta-una-manifestazione-di-protesta-non-autorizzata\/trento-via-verdi-6-novembre-2-2.html""}]}}
La zona interessata è quella di via Verdi, dal duomo fino alla facoltà di sociologia, che è stata chiusa sia al traffico, sia ai pedoni.
La via è stata presidiata dalle diverse forze dell'ordine: polizia, carabinieri, guardia di finanza e agenti della locale.
Altissima la curiosità di molti cittadini che si sono trovati davanti alle transenne e che sono stati «obbligati» a cambiare strada per raggiungere i luoghi verso i quali erano diretti.
Per muoverti con i mezzi pubblici nella città di Trento usa la nostra Partner App gratuita
    



!
","[""fore dell'ordine"", 'protesta', 'strada chiusa', 'trasporti', 'trento', 'viaverdi']","Trento,Via Giuseppe Verdi","{'label': '""Via Giuseppe Verdi, Laboratorio Sociale Officina Piedicastello, Trento, Territorio Val d\'Adige, Provincia di Trento, Trentino-Alto Adige/S\\u00fcdtirol, 38122, Italia""', 'coordinates': ['11.1145588', '  46.0662443']}"
Bancarelle del vin brulè: dovranno chiudere alle 18 (come i bar),"Ordinanza del sindaco Ianeselli: fino d oggi, infatti, permanevano perplessità visto che si tratta di commercio ambulante e non di ristorazione",https://www.trentotoday.it/attualita/chioschi-brule-quado-chiudono.html,06 novembre 2020 15:52,"Bancarelle di caldarroste e vin brulè chiusi alle 18, come i bar. L'equiparazione non era ancora chiara, visto che si tratta di commercio ambulante e non di esercizi pubblici, ma è arrivata con un'apposita ordinanza del sindaco Franco Ianeselli che recepisce le regole anti-covid del Dpcm Conte.
I classici ""banchetti"", tanto cari ai trentini, dovranno chiudere i battenti alle 18, senza possibilità di vendita d'asporto oltre tale orario. Nella stessa ordinanza si conferma uufficialmente l'annullamento dei Mercatini di Natale, della Fiera di Santa Lucia e del luna park collegato, mentre resiste il mercatino dei Gaudenti, così come resta per ora garantito il Mercato del Giovedì.
","['coronavirus', 'dpcm', 'mercati', 'mercatini natale']","Trento,Via Oss Mazzurana","{'label': '""Via Paolo Oss Mazzurana, Centro storico Trento, Trento, Territorio Val d\'Adige, Provincia di Trento, Trentino-Alto Adige/S\\u00fcdtirol, 38122, Italia""', 'coordinates': ['11.1225918', '  46.0685802']}"
Scatta il coprifuoco: ecco tutte le informazioni,Anche in Trentino dalle 22 di venerdì 6 novembre ci sarà il divieto di circolazione senza validi motivi fino alle 5 del mattino,https://www.trentotoday.it/cronaca/coprifuoco-6-novembre-quando.html,06 novembre 2020 15:37,"Scatta anche in Trentino dalla serata di venerdì 6 novembre il cosiddeto coprifuoco. Non si potrà circolare, in auto o a piedi, dopo le 22 senza un valido motivo, fino alle 5 del mattino. Il valido motivo, come ormai già sperimentato durante il primo lockdown, andrà specificato in un'autocerficiazione in caso di controlli.
L'autocertificazione si può scaricare e stampare a casa per averla sempre nel caso in cui si venisse fermati, in ogni caso anche le forze dell'ordine la forniranno durante un eventuale controllo. L'autocertificazione è, invece, sempre necessaria per attraversare il confine tra Trentino e Lombardia. Qusta è solo una delle misure previste dal nuovo Dpcm: l'elenco dettagliato è disponibile qui
","['autocertificazione', 'coprifuoco', 'spostameti']","Trento,Piazza del Duomo","{'label': '""Piazza del Duomo, Centro storico Trento, Trento, Territorio Val d\'Adige, Provincia di Trento, Trentino-Alto Adige/S\\u00fcdtirol, 38122, Italia""', 'coordinates': ['11.1210924', '  46.0676474']}"
"Trentino, Sergio Bortolotti nuovo vicepresidente dell'associazione pubblici esercizi","La nomina è avvenuta nel corso dell’assemblea annuale dell’associazione, durante la quale la presidente Roman Fabia ha affrontato anche la difficile situazione della categoria",https://www.trentotoday.it/attualita/vicepresidente-associazione-pubblici-esercizi.html,06 novembre 2020 15:06,"Fino al 31 dicembre 2020, ovvero fino alla scadenza delle cariche associative del quinquennio 2015-2020, sarà Sergio Bortolotti il vicepresidente dell’Associazione dei pubblici esercizi del Trentino. Fabia Roman ha ufficializzato la nomina nel corso dell’assemblea annuale dell’Associazione tenutasi nei giorni scorsi presso l’auditorium Ivo Perini di Seac, a Trento.
L’assemblea è stata anche l’occasione per fare il punto, nonostante il momento particolarmente incerto, sulle prospettive della categoria e sull’andamento delle imprese associate. Sottolineando l’importanza di avere al fianco un’associazione come Confcommercio Trentino durante questa emergenza sanitaria, la presidente Roman ha elencato le iniziative assunte dall’associazione per supportare le imprese in questi mesi straordinari. La categoria è una delle più colpite dall’emergenza covid-19 e dalle iniziative nazionali e provinciali attuate per contrastare il virus. Roman ha ricordato il confronto costante dell’Associazione con la giunta provinciale, la presenza sui tavoli di lavoro che riguardano la categoria e il collegamento con il governo nazionale instaurato per il tramite di FIPE.
«L’anno 2020 è certamente complesso – commenta il vicepresidente Bortolotti - Le congiunture economiche/ sociali, incidono profondamente sul funzionamento delle attività commerciali, mettendoci tutti in gravi difficoltà. Tutte le attività stanno soffrendo percentualmente in maniera significativa, mettendo a rischio la sopravvivenza stessa delle attività. L'associazione si fa portavoce dei bisogni degli imprenditori a livello politico e sociale ed è promotrice verso le istituzioni, nel condividere possibili soluzioni, inoltre garantisce servizio d'informazione, formazione, assistenza e consulenza alle imprese. Ho sempre creduto nella forza dell'associazione, nella quale nel tempo ho ricoperto varie cariche, cercando di portare il mio contributo. In questo momento sono stato chiamato a ricoprire questa carica che cercherò di onorare al meglio, portando la mia conoscenza concreta sia come membro di giunta, sia come imprenditore».
Sergio Bortolotti, titolare del bar Tre Portoni di Trento, storico locale cittadino, è uno dei soci fondatori dell'Associazione Pubblici Esercizi del Trentino, ed ha ricoperto per anni incarichi nella Giunta Esecutiva dell'Associazione.
","['associazione dei pubblici esercizi', 'attività', 'confcommercio trentino', 'vicepresidenza']",,"{'label': '""Nanno, Comunit\\u00e0 della Val di Non, Provincia di Trento, Trentino-Alto Adige/S\\u00fcdtirol, 38012, Italia""', 'coordinates': ['11.0480288', '  46.3144754']}"
