,year,furti,droga,orso,violenza,violenza_sessuale,truffe,rapine,incidenti_stradali,omicidio,degrado,morti,prostituzione
0,2011,9,4,0,0,0,3,2,0,3,0,0,0
1,2012,122,54,19,0,0,30,19,1,14,0,0,7
2,2013,102,49,19,2,0,31,22,30,10,11,16,7
3,2014,82,44,32,1,0,18,23,48,7,13,101,4
4,2015,86,52,59,1,0,27,27,26,28,27,100,11
5,2016,108,61,25,1,0,34,20,21,10,17,92,1
6,2017,61,54,45,3,0,22,20,2,15,21,64,3
7,2018,82,104,33,4,1,30,13,8,19,20,116,5
8,2019,59,94,46,3,0,29,16,18,14,12,143,5
9,2020,24,23,20,0,4,8,8,9,12,3,84,0
